subjID,correct_pred,human_vs_gpt,prob_subtype,N_gen
8,0,0,59,2
8,0,0,58,2
8,0,0,64,2
8,0,0,122,2
8,0,0,120,2
8,0,0,245,3
8,0,0,158,3
8,0,0,226,3
8,0,0,191,3
8,0,0,142,3
8,0,0,210,3
9,1,0,0,0
9,1,0,1,0
9,1,0,2,0
9,1,0,3,0
9,0,0,4,0
9,0,0,5,0
9,1,0,24,1
9,1,0,19,1
9,0,0,32,1
9,0,0,39,1
9,1,0,10,1
9,1,0,23,1
9,1,0,62,2
9,1,0,51,2
9,1,0,86,2
9,0,0,108,2
9,1,0,84,2
9,1,0,94,2
9,0,0,228,3
9,1,0,166,3
9,0,0,226,3
9,0,0,238,3
9,0,0,230,3
9,0,0,226,3
10,1,0,0,0
10,1,0,1,0
10,1,0,2,0
10,1,0,3,0
10,0,0,4,0
10,0,0,5,0
10,1,0,18,1
10,0,0,19,1
10,1,0,8,1
10,0,0,39,1
10,1,0,28,1
10,0,0,41,1
10,0,0,116,2
10,1,0,77,2
10,1,0,76,2
10,1,0,75,2
10,1,0,81,2
10,0,0,101,2
10,1,0,195,3
10,0,0,226,3
10,1,0,170,3
10,0,0,140,3
10,1,0,221,3
10,1,0,154,3
11,0,0,0,0
11,1,0,1,0
11,0,0,2,0
11,0,0,3,0
11,0,0,4,0
11,0,0,5,0
11,0,0,18,1
11,0,0,25,1
11,0,0,8,1
11,0,0,27,1
11,0,0,40,1
11,0,0,23,1
11,0,0,42,2
11,1,0,64,2
11,0,0,89,2
11,0,0,46,2
11,0,0,81,2
11,0,0,44,2
11,0,0,243,3
11,0,0,175,3
11,0,0,172,3
11,0,0,220,3
11,0,0,138,3
11,0,0,142,3
12,1,0,0,0
12,1,0,1,0
12,1,0,2,0
12,1,0,3,0
12,0,0,4,0
12,0,0,5,0
12,1,0,6,1
12,1,0,31,1
12,1,0,38,1
12,1,0,27,1
12,1,0,28,1
12,1,0,17,1
12,1,0,96,2
12,0,0,74,2
12,0,0,57,2
12,1,0,75,2
12,1,0,56,2
12,1,0,43,2
12,0,0,146,3
12,0,0,220,3
12,1,0,192,3
12,1,0,169,3
12,1,0,233,3
12,0,0,230,3
13,1,0,0,0
13,1,0,1,0
13,1,0,2,0
13,1,0,3,0
13,0,0,4,0
13,0,0,5,0
13,0,0,6,1
13,0,0,37,1
13,1,0,38,1
13,0,0,39,1
13,0,0,28,1
13,0,0,11,1
13,1,0,77,2
13,0,0,113,2
13,0,0,115,2
13,1,0,88,2
13,0,0,60,2
13,0,0,116,2
13,0,0,227,3
13,1,0,207,3
13,1,0,165,3
13,0,0,157,3
13,0,0,169,3
13,0,0,243,3
14,1,0,0,0
14,1,0,1,0
14,1,0,2,0
14,1,0,3,0
14,0,0,4,0
14,0,0,5,0
14,1,0,6,1
14,1,0,19,1
14,1,0,32,1
14,0,0,21,1
14,1,0,22,1
14,0,0,35,1
14,0,0,96,2
14,0,0,61,2
14,0,0,70,2
14,0,0,126,2
14,0,0,85,2
14,0,0,123,2
14,0,0,238,3
14,0,0,173,3
14,1,0,221,3
14,0,0,245,3
14,0,0,169,3
14,0,0,196,3
15,1,0,0,0
15,0,0,1,0
15,1,0,2,0
15,1,0,3,0
15,0,0,4,0
15,0,0,5,0
15,0,0,24,1
15,1,0,19,1
15,0,0,8,1
15,0,0,39,1
15,1,0,40,1
15,1,0,29,1
15,0,0,61,2
15,0,0,74,2
15,0,0,76,2
15,1,0,66,2
15,0,0,58,2
15,0,0,50,2
15,0,0,174,3
15,0,0,251,3
15,0,0,153,3
15,0,0,132,3
15,0,0,244,3
15,0,0,182,3
16,1,0,0,0
16,1,0,1,0
16,1,0,2,0
16,1,0,3,0
16,0,0,4,0
16,0,0,5,0
16,0,0,6,1
16,1,0,31,1
16,1,0,20,1
16,1,0,15,1
16,1,0,34,1
16,1,0,17,1
16,1,0,87,2
16,0,0,131,2
16,1,0,100,2
16,1,0,131,2
16,1,0,83,2
16,0,0,127,2
16,0,0,238,3
16,0,0,225,3
16,1,0,166,3
16,0,0,241,3
16,0,0,221,3
16,0,0,140,3
17,0,0,0,0
17,0,0,1,0
17,1,0,2,0
17,1,0,3,0
17,0,0,4,0
17,0,0,5,0
17,0,0,24,1
17,0,0,13,1
17,0,0,32,1
17,0,0,21,1
17,1,0,22,1
17,0,0,41,1
17,0,0,98,2
17,0,0,105,2
17,0,0,97,2
17,0,0,109,2
17,1,0,91,2
17,0,0,44,2
17,0,0,210,3
17,0,0,155,3
17,0,0,169,3
17,0,0,132,3
17,0,0,135,3
17,0,0,154,3
18,0,0,0,0
18,1,0,1,0
18,1,0,2,0
18,0,0,3,0
18,1,0,4,0
18,0,0,5,0
18,0,0,30,1
18,1,0,19,1
18,0,0,26,1
18,1,0,39,1
18,1,0,34,1
18,0,0,11,1
18,1,0,101,2
18,0,0,57,2
18,0,0,127,2
18,1,0,68,2
18,0,0,108,2
18,1,0,109,2
18,0,0,219,3
18,0,0,230,3
18,0,0,204,3
18,0,0,196,3
18,0,0,143,3
18,0,0,140,3
19,0,0,0,0
19,0,0,1,0
19,1,0,2,0
19,0,0,3,0
19,0,0,4,0
19,0,0,5,0
19,0,0,6,1
19,0,0,31,1
19,0,0,8,1
19,0,0,15,1
19,0,0,10,1
19,0,0,41,1
19,0,0,58,2
19,0,0,86,2
19,0,0,97,2
19,0,0,59,2
19,0,0,46,2
19,0,0,70,2
19,0,0,243,3
19,0,0,146,3
19,0,0,222,3
19,0,0,190,3
19,0,0,228,3
19,1,0,195,3
20,1,0,0,0
20,1,0,1,0
20,0,0,2,0
20,1,0,3,0
20,0,0,4,0
20,0,0,5,0
20,1,0,24,1
20,1,0,19,1
20,0,0,38,1
20,0,0,9,1
20,1,0,22,1
20,0,0,23,1
20,0,0,70,2
20,0,0,123,2
20,0,0,122,2
20,0,0,71,2
20,0,0,65,2
20,0,0,123,2
20,0,0,231,3
20,0,0,247,3
20,0,0,206,3
20,0,0,200,3
20,0,0,245,3
20,0,0,136,3
21,1,0,0,0
21,1,0,1,0
21,1,0,2,0
21,1,0,3,0
21,0,0,4,0
21,1,0,5,0
21,0,0,12,1
21,1,0,19,1
21,1,0,8,1
21,1,0,9,1
21,1,0,22,1
21,1,0,29,1
21,1,0,63,2
21,1,0,101,2
21,1,0,62,2
21,0,0,48,2
21,1,0,112,2
21,0,0,112,2
21,1,0,236,3
21,1,0,170,3
21,1,0,190,3
21,1,0,231,3
21,0,0,139,3
21,0,0,169,3
22,0,0,0,0
22,1,0,1,0
22,1,0,2,0
22,1,0,3,0
22,0,0,4,0
22,0,0,5,0
22,0,0,36,1
22,0,0,31,1
22,0,0,26,1
22,0,0,33,1
22,1,0,22,1
22,0,0,35,1
22,0,0,116,2
22,0,0,44,2
22,0,0,106,2
22,0,0,108,2
22,1,0,51,2
22,0,0,76,2
22,1,0,207,3
22,0,0,176,3
22,0,0,247,3
22,0,0,220,3
22,0,0,197,3
22,1,0,164,3
23,1,0,0,0
23,1,0,1,0
23,1,0,2,0
23,0,0,3,0
23,0,0,4,0
23,0,0,5,0
23,0,0,6,1
23,0,0,31,1
23,1,0,20,1
23,0,0,21,1
23,0,0,40,1
23,0,0,11,1
23,1,0,75,2
23,0,0,80,2
23,0,0,124,2
23,0,0,99,2
23,0,0,122,2
23,0,0,109,2
23,1,0,170,3
23,0,0,176,3
23,0,0,170,3
23,0,0,172,3
23,1,0,196,3
23,0,0,245,3
24,1,0,0,0
24,0,0,1,0
24,1,0,2,0
24,1,0,3,0
24,0,0,4,0
24,1,0,5,0
24,0,0,12,1
24,1,0,31,1
24,1,0,20,1
24,1,0,21,1
24,1,0,16,1
24,0,0,41,1
24,0,0,70,2
24,1,0,50,2
24,0,0,115,2
24,0,0,68,2
24,1,0,47,2
24,1,0,120,2
24,1,0,236,3
24,1,0,207,3
24,1,0,214,3
24,1,0,157,3
24,0,0,156,3
24,1,0,173,3
25,1,0,0,0
25,1,0,1,0
25,1,0,2,0
25,1,0,3,0
25,1,0,4,0
25,0,0,5,0
25,1,0,24,1
25,0,0,37,1
25,0,0,8,1
25,1,0,15,1
25,1,0,40,1
25,0,0,23,1
25,0,0,96,2
25,0,0,57,2
25,0,0,116,2
25,0,0,88,2
25,0,0,108,2
25,1,0,91,2
25,1,0,154,3
25,0,0,186,3
25,0,0,160,3
25,1,0,241,3
25,0,0,138,3
25,0,0,237,3
26,1,0,0,0
26,0,0,1,0
26,1,0,2,0
26,0,0,3,0
26,0,0,4,0
26,1,0,5,0
26,0,0,24,1
26,0,0,31,1
26,0,0,32,1
26,0,0,39,1
26,1,0,22,1
26,0,0,23,1
26,0,0,57,2
26,0,0,121,2
26,1,0,82,2
26,0,0,96,2
26,1,0,64,2
26,0,0,117,2
26,0,0,245,3
26,1,0,190,3
26,1,0,150,3
26,0,0,132,3
26,0,0,233,3
26,0,0,179,3
27,1,0,0,0
27,1,0,1,0
27,1,0,2,0
27,1,0,3,0
27,1,0,4,0
27,0,0,5,0
27,0,0,36,1
27,0,0,37,1
27,1,0,32,1
27,1,0,15,1
27,1,0,34,1
27,1,0,29,1
27,0,0,125,2
27,1,0,70,2
27,1,0,51,2
27,1,0,101,2
27,1,0,107,2
27,1,0,109,2
27,1,0,201,3
27,1,0,165,3
27,0,0,230,3
27,1,0,245,3
27,0,0,157,3
27,0,0,152,3
28,1,0,0,0
28,0,0,1,0
28,1,0,2,0
28,1,0,3,0
28,1,0,4,0
28,1,0,5,0
28,0,0,6,1
28,0,0,31,1
28,1,0,14,1
28,0,0,21,1
28,1,0,28,1
28,1,0,23,1
28,0,0,44,2
28,1,0,101,2
28,0,0,117,2
28,0,0,88,2
28,0,0,114,2
28,0,0,104,2
28,0,0,202,3
28,0,0,155,3
28,1,0,239,3
28,0,0,133,3
28,0,0,139,3
28,1,0,183,3
29,1,0,0,0
29,1,0,1,0
29,1,0,2,0
29,0,0,3,0
29,0,0,4,0
29,0,0,5,0
29,0,0,12,1
29,1,0,7,1
29,1,0,8,1
29,0,0,33,1
29,1,0,16,1
29,0,0,23,1
29,0,0,61,2
29,1,0,112,2
29,0,0,63,2
29,1,0,66,2
29,1,0,97,2
29,1,0,62,2
29,0,0,146,3
29,1,0,159,3
29,0,0,198,3
29,1,0,191,3
29,0,0,143,3
29,0,0,250,3
30,1,0,0,0
30,1,0,1,0
30,0,0,2,0
30,1,0,3,0
30,0,0,4,0
30,0,0,5,0
30,0,0,6,1
30,1,0,13,1
30,0,0,14,1
30,0,0,21,1
30,1,0,28,1
30,1,0,29,1
30,0,0,121,2
30,0,0,113,2
30,1,0,75,2
30,0,0,51,2
30,0,0,122,2
30,0,0,100,2
30,1,0,245,3
30,0,0,152,3
30,0,0,227,3
30,0,0,167,3
30,0,0,153,3
30,0,0,214,3
31,1,0,0,0
31,0,0,1,0
31,1,0,2,0
31,1,0,3,0
31,1,0,4,0
31,0,0,5,0
31,0,0,6,1
31,0,0,13,1
31,1,0,20,1
31,0,0,33,1
31,1,0,16,1
31,1,0,17,1
31,1,0,95,2
31,1,0,71,2
31,1,0,101,2
31,0,0,119,2
31,1,0,81,2
31,1,0,89,2
31,0,0,153,3
31,0,0,140,3
31,1,0,214,3
31,1,0,137,3
31,0,0,223,3
31,0,0,238,3
32,1,0,0,0
32,1,0,1,0
32,1,0,2,0
32,1,0,3,0
32,1,0,4,0
32,0,0,5,0
32,1,0,24,1
32,1,0,19,1
32,1,0,14,1
32,0,0,33,1
32,1,0,16,1
32,0,0,11,1
32,0,0,120,2
32,1,0,112,2
32,0,0,117,2
32,1,0,80,2
32,0,0,62,2
32,1,0,123,2
32,1,0,225,3
32,0,0,191,3
32,0,0,220,3
32,0,0,153,3
32,0,0,210,3
32,0,0,167,3
33,1,0,0,0
33,1,0,1,0
33,1,0,2,0
33,1,0,3,0
33,0,0,4,0
33,0,0,5,0
33,0,0,12,1
33,0,0,31,1
33,1,0,8,1
33,0,0,21,1
33,0,0,34,1
33,0,0,23,1
33,1,0,67,2
33,0,0,121,2
33,0,0,100,2
33,0,0,125,2
33,1,0,45,2
33,0,0,42,2
33,1,0,187,3
33,0,0,142,3
33,0,0,209,3
33,0,0,173,3
33,1,0,139,3
33,0,0,201,3
34,0,0,0,0
34,1,0,1,0
34,1,0,2,0
34,0,0,3,0
34,0,0,4,0
34,1,0,5,0
34,0,0,30,1
34,0,0,19,1
34,0,0,32,1
34,0,0,9,1
34,0,0,22,1
34,0,0,11,1
34,0,0,98,2
34,1,0,69,2
34,0,0,85,2
34,0,0,46,2
34,0,0,112,2
34,0,0,85,2
34,0,0,233,3
34,0,0,209,3
34,0,0,150,3
34,1,0,177,3
34,0,0,224,3
34,0,0,240,3
35,1,0,0,0
35,1,0,1,0
35,1,0,2,0
35,0,0,3,0
35,1,0,4,0
35,1,0,5,0
35,0,0,30,1
35,1,0,37,1
35,1,0,32,1
35,0,0,15,1
35,1,0,34,1
35,0,0,11,1
35,0,0,106,2
35,0,0,52,2
35,1,0,101,2
35,1,0,83,2
35,1,0,79,2
35,0,0,56,2
35,0,0,205,3
35,1,0,142,3
35,1,0,189,3
35,1,0,177,3
35,0,0,152,3
35,1,0,164,3
36,1,0,0,0
36,1,0,1,0
36,1,0,2,0
36,0,0,3,0
36,0,0,4,0
36,0,0,5,0
36,0,0,12,1
36,0,0,31,1
36,0,0,38,1
36,0,0,21,1
36,0,0,22,1
36,1,0,41,1
36,0,0,83,2
36,0,0,123,2
36,0,0,127,2
36,0,0,56,2
36,0,0,62,2
36,0,0,94,2
36,0,0,139,3
36,0,0,138,3
36,0,0,150,3
36,1,0,147,3
36,0,0,169,3
36,0,0,164,3
37,1,0,0,0
37,1,0,1,0
37,1,0,2,0
37,1,0,3,0
37,0,0,4,0
37,1,0,5,0
37,1,0,36,1
37,1,0,31,1
37,1,0,8,1
37,0,0,21,1
37,1,0,22,1
37,0,0,41,1
37,0,0,76,2
37,0,0,84,2
37,1,0,108,2
37,1,0,94,2
37,1,0,82,2
37,1,0,109,2
37,1,0,211,3
37,1,0,165,3
37,0,0,216,3
37,0,0,215,3
37,1,0,165,3
37,1,0,195,3
38,0,0,0,0
38,0,0,1,0
38,0,0,2,0
38,0,0,3,0
38,0,0,4,0
38,0,0,5,0
38,0,0,12,1
38,0,0,19,1
38,0,0,26,1
38,0,0,27,1
38,0,0,16,1
38,0,0,23,1
38,0,0,125,2
38,0,0,74,2
38,0,0,70,2
38,0,0,99,2
38,0,0,62,2
38,0,0,127,2
38,0,0,236,3
38,0,0,145,3
38,0,0,133,3
38,0,0,183,3
38,0,0,147,3
38,0,0,163,3
39,1,0,0,0
39,1,0,1,0
39,1,0,2,0
39,1,0,3,0
39,1,0,4,0
39,0,0,5,0
39,1,0,24,1
39,1,0,19,1
39,1,0,20,1
39,0,0,33,1
39,1,0,28,1
39,1,0,23,1
39,0,0,57,2
39,0,0,115,2
39,1,0,76,2
39,1,0,86,2
39,1,0,129,2
39,1,0,52,2
39,1,0,245,3
39,1,0,154,3
39,1,0,195,3
39,1,0,180,3
39,0,0,164,3
39,1,0,210,3
40,0,0,0,0
40,1,0,1,0
40,1,0,2,0
40,1,0,3,0
40,0,0,4,0
40,0,0,5,0
40,0,0,18,1
40,0,0,37,1
40,0,0,32,1
40,1,0,21,1
40,0,0,40,1
40,0,0,41,1
40,0,0,129,2
40,0,0,57,2
40,1,0,97,2
40,0,0,105,2
40,1,0,83,2
40,0,0,50,2
40,0,0,213,3
40,0,0,151,3
40,0,0,249,3
40,0,0,245,3
40,1,0,251,3
40,1,0,196,3
41,1,0,0,0
41,1,0,1,0
41,1,0,2,0
41,1,0,3,0
41,0,0,4,0
41,0,0,5,0
41,0,0,36,1
41,0,0,37,1
41,0,0,38,1
41,0,0,27,1
41,1,0,10,1
41,1,0,17,1
41,1,0,115,2
41,0,0,131,2
41,0,0,49,2
41,1,0,62,2
41,0,0,65,2
41,1,0,104,2
41,0,0,212,3
41,0,0,152,3
41,0,0,246,3
41,0,0,153,3
41,0,0,165,3
41,1,0,230,3
42,1,0,0,0
42,1,0,1,0
42,1,0,2,0
42,1,0,3,0
42,0,0,4,0
42,0,0,5,0
42,0,0,36,1
42,0,0,37,1
42,1,0,14,1
42,0,0,39,1
42,0,0,28,1
42,1,0,41,1
42,0,0,98,2
42,0,0,79,2
42,1,0,52,2
42,0,0,80,2
42,1,0,84,2
42,0,0,42,2
42,0,0,243,3
42,0,0,187,3
42,0,0,216,3
42,0,0,204,3
42,0,0,244,3
42,0,0,250,3
43,1,0,0,0
43,1,0,1,0
43,1,0,2,0
43,1,0,3,0
43,0,0,4,0
43,1,0,5,0
43,0,0,6,1
43,1,0,37,1
43,0,0,32,1
43,0,0,15,1
43,1,0,10,1
43,0,0,11,1
43,0,0,61,2
43,0,0,113,2
43,0,0,103,2
43,0,0,81,2
43,0,0,60,2
43,0,0,57,2
43,0,0,236,3
43,0,0,151,3
43,0,0,235,3
43,1,0,199,3
43,0,0,224,3
43,0,0,223,3
44,1,0,0,0
44,1,0,1,0
44,1,0,2,0
44,1,0,3,0
44,1,0,4,0
44,0,0,5,0
44,1,0,24,1
44,1,0,31,1
44,1,0,8,1
44,1,0,27,1
44,1,0,28,1
44,0,0,17,1
44,1,0,96,2
44,0,0,131,2
44,0,0,59,2
44,0,0,60,2
44,1,0,45,2
44,0,0,116,2
44,0,0,249,3
44,1,0,154,3
44,1,0,239,3
44,1,0,237,3
44,1,0,227,3
44,0,0,226,3
45,1,0,0,0
45,0,0,1,0
45,1,0,2,0
45,0,0,3,0
45,0,0,4,0
45,0,0,5,0
45,0,0,18,1
45,1,0,37,1
45,0,0,26,1
45,1,0,27,1
45,1,0,22,1
45,0,0,35,1
45,0,0,106,2
45,0,0,88,2
45,0,0,51,2
45,0,0,54,2
45,1,0,82,2
45,0,0,100,2
45,0,0,243,3
45,0,0,178,3
45,0,0,172,3
45,0,0,190,3
45,0,0,223,3
45,0,0,193,3
46,1,0,0,0
46,1,0,1,0
46,1,0,2,0
46,1,0,3,0
46,0,0,4,0
46,0,0,5,0
46,0,0,12,1
46,0,0,37,1
46,0,0,38,1
46,1,0,21,1
46,0,0,40,1
46,0,0,41,1
46,0,0,120,2
46,1,0,79,2
46,1,0,67,2
46,1,0,86,2
46,0,0,123,2
46,0,0,125,2
46,0,0,233,3
46,0,0,133,3
46,1,0,204,3
46,1,0,190,3
46,0,0,171,3
46,0,0,245,3
47,1,0,0,0
47,1,0,1,0
47,1,0,2,0
47,1,0,3,0
47,1,0,4,0
47,1,0,5,0
47,0,0,36,1
47,1,0,31,1
47,1,0,20,1
47,1,0,27,1
47,1,0,22,1
47,1,0,17,1
47,0,0,85,2
47,1,0,91,2
47,0,0,57,2
47,1,0,66,2
47,1,0,69,2
47,1,0,42,2
47,1,0,190,3
47,1,0,147,3
47,1,0,139,3
47,1,0,172,3
47,1,0,143,3
47,0,0,209,3
48,1,0,0,0
48,1,0,1,0
48,1,0,2,0
48,1,0,3,0
48,1,0,4,0
48,1,0,5,0
48,0,0,6,1
48,1,0,19,1
48,1,0,26,1
48,1,0,15,1
48,1,0,40,1
48,0,0,17,1
48,0,0,106,2
48,0,0,125,2
48,1,0,129,2
48,1,0,86,2
48,0,0,84,2
48,1,0,124,2
48,1,0,237,3
48,0,0,133,3
48,1,0,139,3
48,0,0,196,3
48,1,0,169,3
48,0,0,220,3
49,1,0,0,0
49,0,0,1,0
49,1,0,2,0
49,0,0,3,0
49,0,0,4,0
49,1,0,5,0
49,0,0,36,1
49,1,0,13,1
49,1,0,20,1
49,0,0,15,1
49,1,0,10,1
49,1,0,29,1
49,1,0,87,2
49,0,0,108,2
49,0,0,102,2
49,0,0,64,2
49,0,0,114,2
49,0,0,124,2
49,0,0,173,3
49,0,0,209,3
49,0,0,228,3
49,0,0,230,3
49,0,0,153,3
49,0,0,222,3
50,1,0,0,0
50,1,0,1,0
50,1,0,2,0
50,1,0,3,0
50,0,0,4,0
50,0,0,5,0
50,0,0,30,1
50,0,0,37,1
50,1,0,38,1
50,0,0,21,1
50,1,0,22,1
50,1,0,29,1
50,0,0,63,2
50,0,0,117,2
50,1,0,52,2
50,1,0,94,2
50,0,0,122,2
50,0,0,60,2
50,0,0,243,3
50,0,0,247,3
50,0,0,250,3
50,1,0,134,3
50,0,0,167,3
50,0,0,152,3
51,1,0,0,0
51,1,0,1,0
51,1,0,2,0
51,1,0,3,0
51,0,0,4,0
51,0,0,5,0
51,0,0,30,1
51,1,0,7,1
51,1,0,20,1
51,1,0,15,1
51,1,0,10,1
51,0,0,11,1
51,1,0,98,2
51,0,0,61,2
51,0,0,43,2
51,1,0,82,2
51,1,0,88,2
51,1,0,119,2
51,0,0,210,3
51,0,0,141,3
51,0,0,204,3
51,0,0,245,3
51,0,0,197,3
51,0,0,238,3
52,0,0,0,0
52,0,0,1,0
52,0,0,2,0
52,1,0,3,0
52,0,0,4,0
52,0,0,5,0
52,0,0,12,1
52,0,0,31,1
52,0,0,32,1
52,0,0,27,1
52,0,0,40,1
52,0,0,29,1
52,0,0,92,2
52,0,0,123,2
52,1,0,86,2
52,0,0,51,2
52,0,0,107,2
52,0,0,124,2
52,0,0,233,3
52,0,0,246,3
52,0,0,139,3
52,0,0,157,3
52,0,0,210,3
52,0,0,139,3
53,1,0,0,0
53,1,0,1,0
53,0,0,2,0
53,0,0,3,0
53,0,0,4,0
53,0,0,5,0
53,0,0,18,1
53,1,0,31,1
53,1,0,20,1
53,1,0,33,1
53,0,0,28,1
53,0,0,23,1
53,1,0,91,2
53,1,0,94,2
53,1,0,108,2
53,0,0,125,2
53,1,0,51,2
53,0,0,120,2
53,0,0,149,3
53,0,0,133,3
53,1,0,144,3
53,0,0,234,3
53,1,0,168,3
53,0,0,216,3
54,1,0,0,0
54,1,0,1,0
54,0,0,2,0
54,1,0,3,0
54,0,0,4,0
54,0,0,5,0
54,0,0,12,1
54,0,0,31,1
54,1,0,20,1
54,0,0,21,1
54,0,0,16,1
54,0,0,35,1
54,0,0,130,2
54,0,0,123,2
54,0,0,51,2
54,0,0,59,2
54,0,0,62,2
54,1,0,52,2
54,0,0,212,3
54,1,0,190,3
54,0,0,201,3
54,0,0,153,3
54,0,0,135,3
54,0,0,240,3
55,1,0,0,0
55,0,0,1,0
55,1,0,2,0
55,0,0,3,0
55,0,0,4,0
55,1,0,5,0
55,1,0,24,1
55,0,0,7,1
55,0,0,38,1
55,0,0,39,1
55,0,0,40,1
55,0,0,17,1
55,0,0,116,2
55,0,0,51,2
55,0,0,53,2
55,0,0,108,2
55,0,0,95,2
55,0,0,90,2
55,0,0,225,3
55,0,0,144,3
55,0,0,180,3
55,1,0,199,3
55,1,0,251,3
55,0,0,209,3
56,1,0,0,0
56,0,0,1,0
56,1,0,2,0
56,1,0,3,0
56,0,0,4,0
56,0,0,5,0
56,0,0,12,1
56,0,0,37,1
56,0,0,26,1
56,1,0,21,1
56,0,0,40,1
56,0,0,11,1
56,0,0,129,2
56,0,0,92,2
56,0,0,59,2
56,0,0,58,2
56,1,0,62,2
56,0,0,85,2
56,0,0,203,3
56,0,0,162,3
56,1,0,143,3
56,1,0,187,3
56,0,0,164,3
56,0,0,214,3
57,1,1,0,0
57,1,1,1,0
57,1,1,2,0
57,1,1,3,0
57,1,1,4,0
57,0,1,5,0
57,1,1,24,1
57,0,1,25,1
57,0,1,14,1
57,1,1,27,1
57,1,1,28,1
57,1,1,17,1
57,1,1,87,2
57,0,1,124,2
57,0,1,57,2
57,0,1,47,2
57,0,1,43,2
57,0,1,46,2
57,0,1,136,3
57,1,1,188,3
57,0,1,218,3
57,0,1,162,3
57,1,1,191,3
57,1,1,173,3
57,1,1,0,0
